	Po-054	Po-058	Po-094	Po-106	Po-110	Po-116	Po-118	Po-124	Po-134	Po-136	Po-144	Po-156	Po-176	Po-182	Po-186	Po-190	Po-194	Po-214	Po-218	Po-222	Po-228	Po-230	Po-232	Po-234	
Durusdinium10051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10055	0	0	0	0	0	0	0	0	3	0	3	3	2	4	7	0	0	3	0	0	0	2	0	4	
Durusdinium10059	0	0	0	0	0	0	0	0	7	0	3	4	6	5	3	0	0	8	0	0	10	7	0	7	
Durusdinium10060	0	0	3	0	0	0	0	0	8	0	6	8	4	8	0	0	0	8	0	0	13	2	0	12	
Durusdinium10064	0	0	2	0	0	0	0	0	8	0	4	6	1	4	7	0	0	11	0	0	0	1	0	4	
Durusdinium10066	5	9	18	14	0	0	0	0	30	0	17	48	12	29	30	0	0	41	1	0	13	15	0	37	
Durusdinium10067	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10069	0	8	0	2	0	0	0	0	15	0	2	13	7	10	1	0	0	10	0	0	0	10	0	15	
Durusdinium1007	9	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	1	0	0	0	0	0	2	
Durusdinium10074	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	
Durusdinium10080	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	2	
Durusdinium10085	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10087	0	15	15	27	0	0	0	0	45	9	26	30	22	17	49	0	0	32	12	0	18	16	6	41	
Durusdinium10090	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium10092	0	3	9	0	0	0	0	0	3	0	1	2	1	2	1	0	0	15	0	0	0	1	0	7	
Durusdinium10094	0	0	0	0	0	0	0	0	1	0	2	1	0	2	0	0	0	2	0	0	0	0	0	3	
Durusdinium10096	0	1	2	0	0	0	0	0	5	0	2	4	4	3	1	0	0	6	0	0	0	9	0	6	
Durusdinium101	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	
Durusdinium10100	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium10101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium10103	1	5	2	12	0	0	0	0	4	0	2	2	4	4	1	0	1	6	0	0	1	0	0	1	
Durusdinium10104	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	4	0	1	3	0	1	
Durusdinium10105	4	11	13	11	0	0	0	0	50	2	37	79	60	62	40	0	0	56	5	0	22	34	2	91	
Durusdinium10119	0	0	0	0	0	0	0	0	0	0	2	2	0	4	2	0	0	1	0	0	0	0	5	0	
Durusdinium10120	0	1	9	0	0	0	0	0	9	0	0	8	2	6	2	0	0	4	0	0	0	4	0	8	
Durusdinium10121	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10130	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10132	8	13	19	7	0	0	0	0	51	2	31	62	34	47	38	0	0	48	0	0	7	62	1	50	
Durusdinium10134	0	3	5	0	0	0	0	0	18	0	21	32	19	15	21	0	0	23	0	0	8	15	2	30	
Durusdinium10135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10136	0	0	0	0	0	0	0	0	3	0	0	0	6	1	0	0	0	3	0	0	0	0	0	4	
Durusdinium10138	0	1	1	2	0	0	0	0	6	0	6	12	4	8	2	0	0	11	0	0	0	4	1	5	
Durusdinium10139	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1014	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10144	0	0	0	0	0	0	0	0	1	5	3	7	9	3	9	0	0	6	0	0	2	5	1	5	
Durusdinium10146	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	
Durusdinium10147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium10148	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10149	0	1	2	3	0	0	0	0	1	0	0	0	0	2	3	0	0	2	0	0	7	10	0	3	
Durusdinium10151	0	0	1	0	0	0	0	0	4	0	1	1	1	0	1	0	0	2	0	0	0	1	0	2	
Durusdinium10155	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10156	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10160	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	
Durusdinium10163	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	
Durusdinium10168	0	0	2	0	0	0	0	0	0	0	1	7	2	0	0	0	0	2	0	0	0	0	0	4	
Durusdinium10170	0	1	1	4	0	0	0	0	6	4	3	6	1	1	3	0	0	7	0	0	12	1	1	4	
Durusdinium10172	0	4	4	13	0	0	0	0	17	6	11	17	23	18	5	0	0	19	6	0	0	8	1	16	
Durusdinium10175	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10178	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	
Durusdinium10182	0	1	16	0	0	0	0	0	35	0	34	80	59	48	37	0	0	51	11	0	28	15	1	36	
Durusdinium10188	0	6	2	4	0	0	0	0	14	1	7	15	6	11	13	0	1	8	0	0	4	12	10	20	
Durusdinium10190	12	1	11	6	0	0	0	0	32	12	18	28	31	42	26	0	0	42	9	0	7	25	0	49	
Durusdinium10191	0	0	0	0	0	0	0	0	0	0	1	4	2	5	0	0	0	2	0	0	0	0	0	2	
Durusdinium10194	6	0	0	16	0	0	0	0	14	0	5	9	12	7	7	0	0	7	0	0	9	17	0	9	
Durusdinium10196	4	2	7	14	0	0	0	0	13	0	10	29	17	17	19	0	0	20	9	0	5	12	5	12	
Durusdinium10197	0	0	0	4	0	0	0	0	1	0	1	1	0	3	4	0	0	2	0	0	0	3	0	4	
Durusdinium10199	5	9	21	20	0	0	0	0	41	11	22	65	56	38	39	0	1	46	3	0	18	47	11	55	
Durusdinium10201	0	0	1	2	0	0	0	0	1	0	0	0	0	5	2	0	0	0	0	0	0	0	1	0	
Durusdinium10202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10207	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	2	0	0	
Durusdinium10209	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10213	0	0	2	8	0	0	0	0	6	0	2	8	7	3	8	0	0	7	0	0	0	2	1	7	
Durusdinium10215	0	0	0	0	0	0	0	0	0	0	2	3	3	3	2	0	0	0	0	0	0	0	0	1	
Durusdinium10219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Durusdinium1022	4	0	11	2	0	0	0	0	15	0	9	9	9	16	16	0	0	20	0	0	0	10	0	38	
Durusdinium10220	0	0	6	0	0	0	0	0	3	1	2	3	5	7	4	0	0	9	0	0	0	3	4	5	
Durusdinium10224	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10225	0	0	7	3	0	0	0	0	7	0	7	14	4	9	12	0	0	17	0	0	0	13	0	19	
Durusdinium10226	0	1	0	2	0	0	0	0	2	0	1	9	3	5	2	0	0	9	0	0	0	3	0	6	
Durusdinium10227	0	1	1	0	0	0	0	0	1	0	1	0	0	2	2	0	0	3	0	0	0	2	0	8	
Durusdinium10233	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium10235	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	
Durusdinium10236	0	0	0	0	0	0	0	0	4	0	0	1	3	8	6	0	0	4	0	0	0	0	0	1	
Durusdinium10237	1	3	13	1	0	0	0	0	25	3	18	37	32	18	18	0	0	18	0	0	2	12	0	52	
Durusdinium10238	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	
Durusdinium10239	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10240	0	6	6	0	0	0	0	0	5	0	2	13	2	7	0	0	0	8	0	0	0	9	0	9	
Durusdinium10242	0	0	0	0	0	0	0	0	0	0	3	5	0	7	1	0	0	3	0	0	0	1	0	10	
Durusdinium10246	0	1	0	9	0	0	0	0	0	0	0	1	0	14	0	0	0	2	0	0	5	3	0	9	
Durusdinium10250	0	0	1	0	0	0	0	0	0	3	1	2	0	0	2	0	0	3	0	0	4	2	0	2	
Durusdinium10251	0	5	0	0	0	0	0	0	8	0	0	2	0	1	5	0	0	2	0	0	0	0	0	2	
Durusdinium10252	0	1	4	0	0	0	0	0	4	2	0	3	2	1	4	0	0	3	0	0	2	1	0	6	
Durusdinium10258	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	
Durusdinium10259	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10265	0	2	3	0	0	0	0	0	5	0	2	11	4	6	4	0	0	5	0	0	1	1	0	4	
Durusdinium10269	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10270	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	
Durusdinium10272	0	0	1	0	0	0	0	0	9	0	4	13	21	10	4	0	0	14	17	0	0	19	0	12	
Durusdinium10274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium10275	1	3	5	5	0	0	0	0	4	0	6	9	6	17	17	0	0	20	21	0	0	16	1	23	
Durusdinium1029	0	1	0	0	0	0	0	0	2	0	1	6	2	3	1	0	0	3	1	0	0	0	0	4	
Durusdinium10297	0	2	0	0	0	0	0	0	0	0	1	3	0	0	4	0	0	0	0	0	0	0	0	0	
Durusdinium10298	10	1	1	0	0	0	0	0	3	0	1	8	5	2	0	0	0	5	0	0	1	0	0	2	
Durusdinium10299	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium103	0	1	2	0	0	0	0	0	1	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	
Durusdinium10304	0	0	2	5	0	0	0	0	10	0	4	10	8	9	14	0	0	13	0	0	0	7	5	14	
