	Po-054	Po-058	Po-094	Po-106	Po-110	Po-116	Po-118	Po-124	Po-134	Po-136	Po-144	Po-156	Po-176	Po-182	Po-186	Po-190	Po-194	Po-214	Po-218	Po-222	Po-228	Po-230	Po-232	Po-234	
Durusdinium11831	0	0	1	6	0	0	0	0	7	0	3	11	4	13	1	0	0	12	0	0	0	15	7	10	
Durusdinium11832	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	
Durusdinium11834	0	9	2	12	0	0	0	0	14	0	6	12	4	9	7	0	0	23	2	0	7	9	0	11	
Durusdinium11835	0	5	3	8	0	0	0	0	12	4	3	9	8	11	11	0	0	7	6	0	6	4	2	15	
Durusdinium11837	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11839	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11841	0	3	0	0	0	0	0	0	3	0	5	9	1	9	16	0	0	5	0	0	1	3	0	5	
Durusdinium11843	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	
Durusdinium11845	3	2	4	0	0	0	0	0	10	0	1	3	3	6	3	0	0	11	0	0	0	1	0	14	
Durusdinium11849	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11850	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11851	0	0	0	0	0	0	0	0	0	0	0	3	3	2	4	0	0	4	0	0	0	2	0	7	
Durusdinium11853	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	2	
Durusdinium11854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium11857	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
Durusdinium11859	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	
Durusdinium11860	0	0	0	0	0	0	0	0	6	0	6	1	1	3	12	0	0	9	0	0	0	0	0	7	
Durusdinium11864	0	4	1	6	0	0	0	0	6	0	9	9	5	2	2	0	0	9	1	0	0	2	0	11	
Durusdinium11865	0	0	5	1	0	0	0	0	8	0	8	19	5	12	9	0	0	12	2	0	1	13	0	4	
Durusdinium11867	0	0	0	1	0	0	0	0	2	0	0	0	1	1	2	0	0	2	0	0	0	0	1	0	
Durusdinium11869	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	1	0	2	
Durusdinium1187	4	2	3	0	0	0	0	0	2	0	3	5	4	6	1	0	0	5	0	0	0	4	0	3	
Durusdinium11870	2	0	2	0	0	0	0	0	19	0	2	14	12	5	7	0	0	9	0	0	0	6	1	6	
Durusdinium11871	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
Durusdinium11872	0	3	2	0	0	0	0	0	6	1	3	7	6	13	9	0	0	10	0	0	0	2	0	11	
Durusdinium11873	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium11876	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11878	0	1	8	0	0	0	0	0	0	0	8	15	8	1	12	0	0	8	0	0	21	10	2	15	
Durusdinium11879	0	2	6	0	0	0	0	0	8	0	0	4	3	4	0	0	0	6	12	0	0	1	0	10	
Durusdinium1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
Durusdinium11883	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Durusdinium11885	0	15	13	22	0	0	0	0	75	4	35	52	37	43	55	0	0	53	16	0	11	35	1	96	
Durusdinium11886	0	0	0	11	0	0	0	0	0	0	0	1	0	3	4	0	0	2	0	0	0	0	0	1	
Durusdinium11887	0	2	7	0	0	0	0	0	22	0	13	23	16	13	11	0	0	9	6	0	0	4	0	23	
Durusdinium11888	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1189	0	1	3	3	0	0	0	0	7	0	6	8	4	23	8	0	0	7	2	0	10	7	0	15	
Durusdinium11890	0	0	1	0	0	0	0	0	0	0	0	6	2	5	3	0	0	4	0	0	0	3	0	10	
Durusdinium11894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11896	0	1	3	0	0	0	0	0	0	0	0	0	0	2	4	0	0	4	0	0	0	2	0	0	
Durusdinium11897	0	0	2	1	0	0	0	0	11	0	2	6	4	2	2	0	0	5	2	0	1	4	0	1	
Durusdinium11900	1	3	10	0	0	0	0	0	5	0	3	4	6	1	4	0	0	8	0	0	4	11	0	6	
Durusdinium11910	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium11915	22	25	68	67	0	0	0	0	179	20	88	209	133	154	185	0	0	179	48	0	103	133	39	291	
Durusdinium11917	0	6	0	0	0	0	0	0	13	6	10	13	21	24	18	0	0	16	8	0	2	6	0	13	
Durusdinium11918	0	2	1	0	0	0	0	0	7	0	0	2	3	4	1	0	0	9	0	0	0	0	0	4	
Durusdinium11919	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	
Durusdinium11920	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	
Durusdinium11921	0	1	0	1	0	0	0	0	2	0	6	18	7	8	15	0	0	30	0	0	4	12	0	19	
Durusdinium11925	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	
Durusdinium1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
Durusdinium11930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Durusdinium11931	0	0	3	2	0	0	0	0	1	0	1	1	1	1	5	0	0	0	0	0	5	1	0	1	
Durusdinium11932	2	7	17	5	0	0	0	0	18	2	9	26	17	27	14	0	0	25	4	0	7	19	15	35	
Durusdinium11933	0	1	19	14	0	0	0	0	13	0	5	11	8	11	5	0	0	10	0	0	1	23	4	26	
Durusdinium11936	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	
Durusdinium11941	0	0	0	0	0	0	0	0	2	0	6	1	3	0	4	0	0	2	0	0	0	0	0	0	
Durusdinium11943	0	0	0	2	0	0	0	0	4	0	1	7	6	6	5	0	0	3	2	0	0	3	0	7	
Durusdinium11944	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	1	0	0	4	
Durusdinium11945	0	0	1	0	0	0	0	0	6	0	1	1	0	6	0	0	0	4	0	0	0	3	0	10	
Durusdinium11949	6	4	1	0	0	0	0	0	12	2	2	9	3	3	15	0	0	5	0	0	0	6	0	5	
Durusdinium11950	0	0	2	6	0	0	0	0	5	3	1	13	5	17	12	0	0	10	0	0	6	8	0	19	
Durusdinium11951	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11953	1	0	0	0	0	0	0	0	3	0	2	0	1	1	1	0	0	1	0	0	0	0	0	6	
Durusdinium11955	0	0	5	0	0	0	0	0	1	0	1	0	5	0	0	0	0	4	0	0	1	0	0	3	
Durusdinium11956	0	1	4	0	0	0	0	0	3	0	5	4	5	6	1	0	0	4	0	0	0	0	2	4	
Durusdinium1196	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium11962	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11967	0	0	3	3	0	0	0	0	5	0	7	16	11	15	5	0	0	8	0	0	0	6	1	25	
Durusdinium11974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11975	0	14	4	2	0	0	0	0	26	14	17	47	19	22	11	0	0	21	7	0	0	21	1	31	
Durusdinium1198	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	
Durusdinium11980	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	
Durusdinium11982	0	1	0	7	0	0	0	0	0	0	1	1	2	5	2	0	0	0	0	0	0	5	0	4	
Durusdinium11985	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	2	
Durusdinium11993	0	2	0	0	0	0	0	0	0	0	4	5	3	3	3	0	0	4	0	0	0	3	0	5	
Durusdinium11997	0	3	6	8	0	0	0	0	1	0	4	7	1	6	6	0	0	5	1	0	0	0	0	7	
Durusdinium11999	0	0	1	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	
Durusdinium12005	0	1	1	2	0	0	0	0	1	0	0	2	3	1	5	0	0	0	0	0	0	0	0	6	
Durusdinium12006	0	1	1	1	0	0	0	0	5	0	0	2	5	0	2	0	0	2	0	0	1	1	0	3	
Durusdinium1201	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	4	0	0	
Durusdinium12010	3	1	3	4	0	0	0	0	12	0	4	11	7	4	16	0	0	13	0	0	1	5	0	9	
Durusdinium12011	0	3	6	1	0	0	0	0	14	2	2	7	3	15	6	0	0	6	2	0	12	0	0	7	
Durusdinium12013	3	2	6	1	0	0	0	0	9	0	9	5	6	6	6	0	0	6	0	0	0	1	0	6	
Durusdinium12020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium12022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium12023	8	6	8	9	0	0	0	0	21	0	15	39	25	27	29	0	0	24	4	0	23	29	0	44	
Durusdinium12025	13	9	24	30	0	0	0	0	66	11	45	80	53	59	51	0	0	77	5	0	21	36	20	122	
Durusdinium12028	0	1	7	0	0	0	0	0	3	0	2	4	5	0	7	0	0	6	0	0	0	3	0	4	
Durusdinium12031	0	0	4	2	0	0	0	0	17	0	7	9	10	12	14	0	0	9	3	0	0	3	5	19	
Durusdinium12032	0	2	3	0	0	0	0	0	7	0	2	2	6	1	7	0	0	2	1	0	2	1	0	9	
Durusdinium12033	0	0	0	1	0	0	0	0	3	0	4	0	3	2	0	0	0	0	0	0	0	0	0	1	
Durusdinium12037	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Durusdinium12038	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	
Durusdinium12039	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Durusdinium12042	0	0	0	4	0	0	0	0	13	0	11	18	8	11	13	0	0	14	0	0	1	11	1	24	
Durusdinium12047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium12049	0	3	6	0	0	0	0	0	3	0	3	2	5	1	3	0	0	7	0	0	5	1	0	8	
Durusdinium12053	0	3	6	1	0	0	0	0	1	0	0	2	6	6	5	0	0	12	0	0	0	2	0	12	
Durusdinium12055	3	2	6	0	0	0	0	0	25	2	13	10	10	15	10	0	0	23	0	0	2	9	1	17	
Durusdinium12059	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	2	0	0	
Durusdinium1206	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	
Durusdinium12061	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12064	0	0	0	6	0	0	0	0	6	1	0	11	11	3	3	0	0	5	0	0	0	5	0	5	
Durusdinium12068	0	2	2	3	0	0	0	0	5	0	6	13	2	8	3	0	0	7	0	0	0	5	0	8	
Durusdinium1207	0	0	4	2	0	0	0	0	3	0	5	4	2	6	1	0	0	2	0	0	1	1	0	2	
Durusdinium12076	0	0	0	0	0	0	0	0	0	0	5	6	7	4	4	0	0	7	3	0	0	3	0	7	
Durusdinium1208	0	0	0	0	0	0	0	0	2	0	0	1	1	3	1	0	1	5	0	0	0	0	0	3	
Durusdinium12081	0	1	1	2	0	0	0	0	5	2	1	2	5	8	7	0	0	4	1	0	3	8	2	3	
Durusdinium12082	0	0	5	2	0	0	0	0	6	0	2	7	7	6	1	0	0	10	0	0	0	4	0	8	
Durusdinium12083	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium12085	3	0	1	1	0	0	0	0	4	0	4	1	3	4	0	0	0	1	0	0	0	6	0	3	
Durusdinium12087	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	
Durusdinium12088	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	10	0	0	3	
Durusdinium1209	0	0	1	0	0	0	0	0	3	0	4	13	5	6	11	0	0	7	3	0	7	2	0	14	
Durusdinium12093	0	0	0	0	0	0	0	0	2	0	1	3	2	3	0	0	0	2	0	0	0	0	0	2	
Durusdinium12095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium12101	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium12104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12109	0	1	4	0	0	0	0	0	0	0	1	3	2	1	0	0	0	1	9	0	0	2	0	2	
Durusdinium12110	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	
Durusdinium12111	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	
Durusdinium12113	0	2	0	0	0	0	0	0	7	0	3	4	8	7	6	0	0	4	0	0	0	6	0	8	
Durusdinium12116	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12119	0	0	3	0	0	0	0	0	3	0	2	4	2	0	2	0	0	3	0	0	0	5	0	4	
Durusdinium1212	0	0	0	6	0	0	0	0	1	0	1	0	2	1	3	0	0	3	0	0	0	7	0	0	
Durusdinium12122	0	0	4	1	0	0	0	0	7	7	2	2	2	2	6	0	0	4	0	0	18	4	8	10	
Durusdinium12125	0	0	3	8	0	0	0	0	3	0	1	4	5	4	3	0	0	6	0	0	0	6	0	12	
Durusdinium12126	0	1	4	0	0	0	0	0	3	3	4	8	9	7	1	0	0	12	0	0	0	0	0	10	
Durusdinium12129	0	0	0	0	0	0	0	0	2	0	2	3	2	2	2	0	0	0	0	0	0	0	0	5	
Durusdinium1213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12133	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	
Durusdinium12139	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium12142	0	0	3	1	0	0	0	0	2	0	3	0	4	5	1	0	0	4	0	0	7	3	8	8	
Durusdinium12146	3	4	8	0	0	0	0	0	5	0	8	6	8	8	7	0	0	9	0	0	8	5	1	18	
Durusdinium12147	0	1	0	0	0	0	0	0	1	1	2	3	3	1	4	0	0	5	0	0	1	4	0	7	
Durusdinium12151	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Durusdinium12154	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	1	
Durusdinium12156	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12160	14	20	18	47	0	0	0	0	77	10	43	94	82	99	89	0	0	92	2	0	16	57	7	100	
Durusdinium12162	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	
Durusdinium12167	0	0	0	0	0	0	0	0	1	0	1	4	3	0	1	0	0	4	0	0	0	2	0	4	
Durusdinium12168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium12169	0	0	0	3	0	0	0	0	4	0	2	3	1	2	1	0	0	2	0	0	0	0	0	0	
Durusdinium1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12175	0	0	0	0	0	0	0	0	1	0	1	7	2	3	3	0	0	5	0	0	0	0	0	8	
Durusdinium12178	0	0	0	0	0	0	0	0	7	0	2	11	16	6	10	0	0	15	0	0	0	4	0	18	
Durusdinium12181	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium12182	0	0	5	0	0	0	0	0	2	0	1	1	3	2	0	0	0	6	0	0	0	7	0	4	
Durusdinium12184	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12186	0	1	2	0	0	0	0	0	1	0	2	2	3	2	9	0	0	1	0	0	0	4	0	5	
Durusdinium12187	0	1	1	0	0	0	0	0	7	0	3	9	6	3	6	0	0	9	0	0	10	3	2	14	
Durusdinium1219	0	1	0	0	0	0	0	0	3	0	10	5	3	7	7	0	0	11	0	0	0	11	0	3	
Durusdinium12192	1	4	5	4	0	0	0	0	12	0	5	21	16	13	22	0	0	8	1	0	6	8	8	25	
Durusdinium12193	14	7	15	3	0	0	0	0	18	0	27	31	17	21	10	0	0	30	11	0	0	17	13	28	
Durusdinium12194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium12199	0	0	2	0	0	0	0	0	10	0	5	21	10	15	5	0	0	16	4	0	2	13	3	18	
Durusdinium122	0	0	5	0	0	0	0	0	2	0	4	2	0	2	0	0	0	5	0	0	0	2	3	14	
Durusdinium12200	0	0	0	0	0	0	0	0	0	0	2	3	1	2	0	0	0	3	0	0	0	1	0	6	
Durusdinium12203	2	1	26	11	0	0	0	0	13	3	9	33	19	22	21	0	0	41	3	0	5	20	2	42	
Durusdinium12205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12209	0	0	1	0	0	0	0	0	3	0	0	2	3	2	1	0	0	0	0	0	0	0	0	0	
Durusdinium1221	7	10	4	7	0	0	0	0	47	0	38	60	64	52	77	0	0	47	16	0	0	35	2	60	
Durusdinium12215	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium12222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Durusdinium12223	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1223	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	
Durusdinium12236	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	
Durusdinium12237	0	1	0	8	0	0	0	0	11	1	13	26	7	12	18	0	0	15	7	0	0	8	1	27	
Durusdinium12240	1	1	3	3	0	0	0	0	8	0	9	11	7	14	18	0	0	18	3	0	2	6	3	17	
Durusdinium12245	0	0	3	0	0	0	0	0	1	0	0	2	2	3	6	0	0	5	0	0	9	3	0	4	
Durusdinium12246	0	0	0	0	0	0	0	0	2	0	0	0	1	2	3	0	0	1	2	0	0	0	0	1	
Durusdinium12247	0	0	2	0	0	0	0	0	6	0	8	10	4	8	6	0	0	3	0	0	9	7	0	11	
Durusdinium12248	7	4	8	3	0	0	0	0	31	0	6	22	14	11	12	0	0	15	4	0	4	9	0	25	
Durusdinium12249	2	0	1	4	0	0	0	0	5	0	0	4	5	6	2	0	0	3	0	0	2	4	5	8	
Durusdinium1225	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	1	
Durusdinium12250	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	
Durusdinium12251	0	9	7	12	0	0	0	0	9	7	12	25	15	12	17	0	0	22	14	0	6	16	0	34	
Durusdinium12258	0	0	0	6	0	0	0	0	4	0	0	5	0	3	0	0	0	1	0	0	0	2	0	0	
Durusdinium1226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12263	0	7	6	5	0	0	0	0	11	1	11	9	10	9	11	0	0	11	1	0	0	12	0	15	
Durusdinium12265	1	3	0	0	0	0	0	0	5	1	0	2	3	1	0	0	0	4	5	0	0	0	0	3	
Durusdinium12266	0	6	1	0	0	0	0	0	1	0	2	5	4	4	2	0	0	9	5	0	0	6	0	4	
Durusdinium12268	0	0	0	0	0	0	0	0	1	1	1	2	0	0	3	0	0	0	0	0	0	0	0	1	
Durusdinium1227	0	0	0	15	0	0	0	0	3	0	2	9	5	4	16	0	0	5	0	0	11	6	1	14	
Durusdinium12271	0	0	0	0	0	0	0	0	3	0	0	1	2	2	1	0	0	7	0	0	0	0	0	0	
Durusdinium12273	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	1	0	0	1	0	1	3	
Durusdinium12274	0	2	5	12	0	0	0	0	9	0	10	23	17	13	8	0	0	18	0	0	5	6	0	17	
Durusdinium12276	4	0	0	6	0	0	0	0	2	0	0	4	4	1	10	0	0	5	0	0	4	1	0	8	
Durusdinium12277	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	1	3	0	5	
Durusdinium12280	0	0	1	4	0	0	0	0	18	0	3	5	5	8	21	0	0	3	0	0	0	6	0	8	
Durusdinium12283	0	1	2	4	0	0	0	0	3	0	0	3	7	2	6	0	0	0	0	0	0	1	0	3	
Durusdinium12284	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	
Durusdinium12286	2	0	1	0	0	0	0	0	1	0	1	5	3	2	2	0	0	4	0	0	0	3	0	6	
Durusdinium1229	0	4	3	7	0	0	0	0	10	1	4	16	18	14	9	0	0	16	0	0	5	12	1	13	
Durusdinium12290	1	0	0	7	0	0	0	0	11	0	1	7	5	1	11	0	0	4	0	0	0	5	0	9	
Durusdinium12294	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12295	1	5	4	7	0	0	0	0	25	0	11	32	36	32	21	0	0	43	11	0	1	12	1	32	
Durusdinium12296	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	
Durusdinium12299	0	0	2	7	0	0	0	0	2	0	0	2	2	0	1	0	0	0	0	0	0	0	0	2	
Durusdinium123	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	
Durusdinium1230	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12303	0	0	4	6	0	0	0	0	12	0	4	18	6	18	7	0	0	16	0	0	0	9	0	26	
Durusdinium12306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	
Durusdinium12309	9	10	4	0	0	0	0	0	12	0	2	4	3	1	2	0	0	4	0	0	0	5	0	10	
Durusdinium12310	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium12312	3	5	7	4	0	0	0	0	6	3	4	14	12	7	7	0	0	9	1	0	12	7	1	14	
Durusdinium12313	0	0	0	0	0	0	0	0	1	0	1	7	0	3	0	0	0	1	0	0	0	2	0	4	
Durusdinium12316	0	0	4	0	0	0	0	0	6	0	3	8	4	5	3	0	0	5	2	0	0	0	0	10	
Durusdinium12317	0	0	0	5	0	0	0	0	3	1	0	0	0	3	2	0	0	0	0	0	1	0	0	2	
Durusdinium12319	0	0	0	4	0	0	0	0	2	0	1	4	0	8	8	0	0	6	0	0	0	1	0	2	
Durusdinium12320	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	
Durusdinium12322	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	12	
Durusdinium12324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium12326	0	0	0	0	0	0	0	0	3	3	0	0	2	1	1	0	0	0	0	0	2	0	0	2	
Durusdinium12328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium12332	3	0	12	4	0	0	0	0	9	6	4	16	19	19	13	0	0	21	0	0	17	10	1	19	
Durusdinium12335	0	1	0	0	0	0	0	0	6	0	2	7	3	2	8	0	0	7	0	0	0	1	0	5	
Durusdinium12336	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12337	1	8	5	9	0	0	0	0	24	5	11	37	38	24	33	0	0	43	4	0	7	17	8	44	
Durusdinium12338	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	
Durusdinium12340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	
Durusdinium12342	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12343	15	11	28	26	0	0	0	0	56	13	40	59	52	60	36	0	0	61	16	0	36	21	8	83	
Durusdinium12348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
Durusdinium12349	0	5	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12353	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	
Durusdinium12355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium12356	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	
Durusdinium12359	0	0	0	3	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium1236	0	1	17	0	0	0	0	0	15	2	7	11	11	9	5	0	0	7	5	0	9	8	0	13	
Durusdinium12360	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12364	0	0	1	1	0	0	0	0	1	0	3	4	5	12	5	0	0	7	0	0	0	7	0	10	
Durusdinium12365	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12366	0	0	3	0	0	0	0	0	10	7	3	2	4	0	2	0	0	5	0	0	1	0	0	5	
Durusdinium12367	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	2	
Durusdinium12368	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	
Durusdinium12371	0	0	2	0	0	0	0	0	1	4	4	4	6	2	2	0	0	3	1	0	0	0	2	8	
