	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Durusdinium12756	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	1	
Durusdinium12757	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12759	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1276	3	0	0	1	5	4	0	4	0	0	0	1	5	0	0	2	0	2	1	
Durusdinium12760	5	1	0	1	18	3	7	0	0	0	0	13	10	8	5	1	0	1	3	
Durusdinium12768	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12769	5	4	3	1	20	13	0	10	0	1	0	37	9	2	0	1	0	3	8	
Durusdinium12770	6	0	11	0	15	0	0	4	4	0	0	15	7	0	0	12	0	0	4	
Durusdinium12772	1	0	0	0	4	0	0	0	0	0	0	4	1	0	0	1	0	0	1	
Durusdinium12774	2	0	2	0	2	0	2	1	0	0	0	4	2	0	0	0	0	3	1	
Durusdinium12776	2	5	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	1	0	
Durusdinium12779	12	0	0	0	27	5	1	8	2	0	0	30	18	1	2	7	0	0	5	
Durusdinium1278	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	4	
Durusdinium12780	2	0	0	0	11	1	0	0	0	0	0	8	4	0	0	10	0	2	0	
Durusdinium12781	6	5	5	5	17	6	2	3	0	2	0	28	15	7	9	19	0	6	2	
Durusdinium12783	2	1	3	0	13	8	0	3	1	0	0	52	10	0	0	9	3	4	14	
Durusdinium1279	3	0	1	0	7	1	0	5	9	1	0	6	4	0	0	3	0	0	0	
Durusdinium12790	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12793	7	0	3	0	20	2	0	2	0	5	0	14	1	0	0	13	0	1	3	
Durusdinium12798	11	16	0	0	6	1	0	0	3	0	0	12	8	0	0	6	0	5	4	
Durusdinium12799	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12803	11	0	3	0	7	9	6	3	3	0	4	25	20	5	2	1	0	1	3	
Durusdinium12804	3	0	0	0	8	1	4	4	0	0	0	3	1	0	1	7	0	0	5	
Durusdinium12810	6	1	0	1	19	4	6	5	3	11	0	16	5	2	0	6	0	0	3	
Durusdinium12812	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	
Durusdinium12818	13	6	0	1	32	7	7	8	0	0	0	34	14	13	0	1	0	1	15	
Durusdinium1282	33	8	34	19	70	42	5	31	0	0	3	96	34	12	1	24	0	10	52	
Durusdinium12820	1	0	3	0	1	0	0	0	1	0	0	4	0	0	0	1	0	0	0	
Durusdinium12823	8	5	1	0	8	11	3	14	0	0	0	30	16	0	0	0	0	0	1	
Durusdinium12829	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
Durusdinium12833	0	0	0	0	3	3	0	0	0	0	0	7	0	0	0	1	1	0	3	
Durusdinium12834	18	2	9	0	39	9	8	9	1	1	1	64	29	3	1	13	0	7	24	
Durusdinium12838	0	1	0	0	5	0	0	0	0	0	0	3	1	0	0	1	0	0	4	
Durusdinium1284	6	0	1	0	8	2	0	1	0	0	0	3	5	0	0	0	0	3	3	
Durusdinium12848	114	23	12	0	176	61	23	60	2	0	3	255	122	12	10	97	0	28	102	
Durusdinium1285	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	1	2	
Durusdinium12852	21	1	4	0	24	13	4	0	0	0	0	42	17	1	0	9	0	1	25	
Durusdinium12853	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium12856	0	0	0	2	1	2	2	3	0	0	0	0	3	0	0	7	0	0	1	
Durusdinium12858	1	0	1	1	9	3	0	0	0	0	0	9	6	2	0	3	0	1	0	
Durusdinium12859	0	0	3	0	2	0	0	0	0	0	0	7	2	6	0	0	0	0	0	
Durusdinium1286	0	0	0	0	4	0	0	0	0	0	0	2	2	0	1	0	0	0	2	
Durusdinium12866	7	2	5	0	44	8	9	9	2	0	2	49	15	1	0	1	0	4	10	
Durusdinium1287	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Durusdinium12871	4	2	1	0	7	2	0	3	0	0	0	7	2	1	0	2	0	1	1	
Durusdinium12876	1	0	0	0	13	4	3	1	0	0	0	27	4	0	0	0	0	0	7	
Durusdinium12877	10	23	6	0	7	3	10	0	2	0	2	11	9	1	0	19	0	5	5	
Durusdinium12879	7	5	0	0	10	0	0	0	0	0	0	15	5	0	0	0	0	0	4	
Durusdinium1288	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12881	3	0	0	0	7	2	5	2	1	0	0	7	3	0	4	0	0	2	4	
Durusdinium12883	7	8	0	0	17	0	4	6	8	0	1	19	13	3	0	2	0	1	15	
Durusdinium12888	8	3	3	1	23	9	6	11	9	0	0	31	22	8	7	1	0	3	16	
Durusdinium12895	5	0	0	0	2	1	0	3	0	0	0	8	8	0	0	0	0	0	2	
Durusdinium1290	13	9	9	1	23	5	17	13	6	0	10	52	15	15	0	11	0	6	16	
Durusdinium12902	1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	
Durusdinium12904	2	8	0	0	5	0	0	3	5	0	0	9	6	5	0	0	0	1	2	
Durusdinium1291	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12916	24	6	8	0	59	13	11	10	0	0	0	53	34	5	0	9	2	4	20	
Durusdinium1292	9	0	10	0	21	8	0	6	11	0	0	30	30	8	0	9	0	3	6	
Durusdinium12922	6	3	0	0	16	4	0	5	0	0	0	26	11	0	0	0	0	0	2	
Durusdinium12927	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12935	7	9	2	4	22	4	4	8	1	2	0	13	4	15	0	4	0	0	2	
Durusdinium12937	88	35	41	8	168	74	31	31	1	7	15	230	98	21	11	74	1	25	75	
Durusdinium12938	33	5	11	2	83	27	20	22	24	0	4	110	56	14	1	28	0	9	32	
Durusdinium12940	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium12946	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	
Durusdinium12947	33	11	15	0	54	19	2	11	0	0	1	78	35	9	0	1	0	8	23	
Durusdinium12949	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12951	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12952	25	4	2	0	58	19	5	11	0	0	0	82	14	5	0	13	2	6	35	
Durusdinium12956	0	6	3	0	13	7	4	0	2	0	0	20	2	0	0	0	0	3	4	
Durusdinium12958	7	0	0	0	7	4	0	0	0	1	0	10	2	0	0	10	0	0	2	
Durusdinium12959	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12963	8	0	1	0	16	5	0	6	0	0	0	29	2	0	0	7	0	6	1	
Durusdinium12967	3	1	4	0	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium12968	1	0	0	0	2	1	0	0	1	0	0	1	2	0	0	0	0	0	2	
Durusdinium12979	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12980	2	1	0	0	1	1	0	0	1	0	1	2	0	0	0	2	0	0	0	
Durusdinium12982	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium12986	1	0	0	0	1	1	0	3	1	0	0	2	0	0	0	1	0	0	0	
Durusdinium12990	2	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	2	
Durusdinium12991	6	0	0	0	5	1	1	2	0	0	0	17	3	2	0	2	0	3	2	
Durusdinium12998	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	
Durusdinium130	24	10	7	3	64	21	20	34	9	9	0	98	36	16	11	12	0	10	19	
Durusdinium13008	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	
Durusdinium13014	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium13018	2	1	1	0	0	1	0	3	0	0	0	1	5	0	0	0	0	1	0	
Durusdinium1302	12	4	16	0	32	5	4	4	1	1	0	34	14	6	1	9	0	6	18	
Durusdinium13026	21	3	8	0	32	10	1	11	2	0	0	42	24	12	0	8	0	3	6	
Durusdinium13027	12	1	8	1	47	6	3	32	0	2	2	58	23	7	3	11	0	2	35	
Durusdinium1303	1	0	8	5	6	1	6	1	0	1	1	12	9	0	0	0	0	3	0	
Durusdinium13030	3	0	0	3	15	0	11	0	0	0	0	8	9	0	0	10	0	4	3	
Durusdinium13044	1	4	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	
Durusdinium1305	20	7	8	0	32	11	1	7	2	0	0	44	25	2	6	2	0	1	15	
Durusdinium13051	1	0	0	0	2	1	0	0	0	0	0	5	0	0	0	0	0	0	1	
Durusdinium13053	13	0	0	0	33	4	1	3	1	0	0	47	17	0	0	0	0	4	4	
Durusdinium13054	11	2	2	0	22	6	2	3	5	0	1	30	12	7	2	5	0	1	5	
Durusdinium13058	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13061	7	4	6	0	22	6	3	12	1	0	1	23	12	9	0	14	0	3	7	
Durusdinium13063	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
Durusdinium13065	6	0	3	0	17	10	5	0	6	0	0	25	12	1	0	0	3	1	13	
Durusdinium13070	5	0	3	0	3	3	0	0	7	0	5	14	4	0	0	0	0	0	8	
Durusdinium13077	9	0	0	0	21	3	0	2	1	0	0	19	20	0	0	15	1	2	14	
Durusdinium13079	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium13080	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13083	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	1	
Durusdinium13085	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	5	0	0	2	
Durusdinium13086	1	0	0	0	4	1	0	0	0	0	0	4	1	0	6	0	0	0	1	
Durusdinium13087	11	0	5	8	3	7	1	14	3	0	0	29	21	9	0	10	0	2	8	
Durusdinium13088	7	0	4	0	14	4	0	2	1	0	0	11	5	1	1	1	0	0	6	
Durusdinium13089	12	5	0	1	43	6	1	10	0	0	2	39	18	16	1	0	0	6	7	
Durusdinium13090	8	0	0	0	7	0	0	0	6	0	0	16	4	0	0	0	0	2	10	
Durusdinium13091	12	1	9	0	26	4	1	4	0	0	0	36	16	1	13	10	1	5	30	
Durusdinium13098	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13102	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium13105	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	10	0	0	0	
Durusdinium13110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13111	0	0	0	0	4	1	2	0	0	0	0	12	3	0	4	0	0	2	1	
Durusdinium13117	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13118	1	2	0	0	5	2	0	2	3	0	0	8	4	0	1	1	0	0	6	
Durusdinium1312	2	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	
Durusdinium13124	7	0	2	0	10	3	1	4	0	0	0	11	5	0	0	6	0	3	7	
Durusdinium13126	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13128	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1313	2	11	0	0	2	0	1	1	0	0	0	1	2	0	0	0	0	1	2	
Durusdinium13134	0	0	2	2	4	0	2	11	0	0	0	5	2	2	0	1	0	1	1	
Durusdinium13140	0	0	1	0	4	0	0	1	0	0	0	3	0	0	0	0	0	0	1	
Durusdinium13144	8	2	7	0	18	10	0	8	0	0	0	23	5	0	0	3	0	1	6	
Durusdinium13148	1	0	1	0	7	1	0	2	0	0	0	2	3	0	0	0	0	1	3	
Durusdinium1315	0	0	0	0	2	0	0	0	0	0	0	5	2	1	0	0	0	0	1	
Durusdinium13157	5	2	3	0	13	4	3	0	4	0	2	15	4	0	0	0	0	0	6	
Durusdinium1316	4	0	0	0	17	5	0	3	10	0	0	13	10	0	0	0	0	0	8	
Durusdinium13161	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13163	4	0	2	0	7	0	3	2	0	0	0	11	11	1	0	6	0	3	5	
Durusdinium13167	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium13168	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium1317	7	0	2	0	7	2	3	2	0	0	0	6	16	0	0	14	0	0	2	
Durusdinium13179	38	0	6	0	54	13	15	27	0	0	0	75	41	5	2	3	0	12	20	
Durusdinium1319	8	14	0	9	25	11	12	13	0	0	1	44	17	3	0	7	0	4	22	
Durusdinium132	21	1	0	0	47	15	14	11	1	0	0	68	25	12	0	9	0	1	10	
Durusdinium13200	15	8	14	0	47	9	16	26	5	0	0	50	22	7	0	16	0	8	6	
Durusdinium13203	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13205	7	0	0	0	5	2	0	4	0	0	0	12	1	10	0	1	0	0	2	
Durusdinium1321	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13210	9	2	5	10	44	3	1	11	1	0	1	55	18	7	0	1	0	5	26	
Durusdinium13212	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Durusdinium1322	2	4	6	0	8	1	3	1	1	0	0	8	0	1	0	2	0	0	8	
Durusdinium13222	19	17	13	3	30	11	11	8	9	0	7	28	21	15	10	30	0	6	10	
Durusdinium13224	2	0	3	0	2	0	2	0	3	0	0	5	18	3	0	3	0	0	1	
Durusdinium13225	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13226	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13228	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	
Durusdinium13229	5	0	5	0	1	3	8	0	0	0	0	5	9	0	9	0	0	0	2	
Durusdinium13233	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13244	4	0	0	0	9	0	0	5	0	1	0	15	3	1	9	1	0	1	0	
Durusdinium13246	10	0	7	0	15	2	1	2	0	0	0	23	10	0	4	3	0	2	11	
Durusdinium13251	7	0	2	0	14	3	4	13	1	0	0	18	5	0	0	9	0	1	2	
Durusdinium13254	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	
Durusdinium13255	5	1	1	0	2	1	0	1	0	0	1	1	2	0	0	1	0	1	1	
Durusdinium13256	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium13264	25	0	7	0	41	9	7	16	0	1	0	43	34	5	5	11	0	7	35	
Durusdinium13270	4	1	3	0	6	5	0	10	0	0	0	12	5	0	0	0	0	3	23	
Durusdinium13272	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13273	0	0	0	0	0	2	1	0	0	0	0	6	2	0	1	3	0	0	1	
Durusdinium13276	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1328	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13281	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	
Durusdinium13284	8	0	14	0	26	10	5	15	1	2	0	37	19	0	0	12	0	4	7	
Durusdinium13285	6	0	0	0	4	2	0	0	0	0	0	4	8	0	4	2	1	2	2	
Durusdinium13287	1	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13289	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13292	8	3	2	0	14	7	6	6	0	0	4	16	10	1	0	2	0	10	4	
Durusdinium13297	1	0	4	0	5	5	0	5	0	0	1	21	2	0	1	0	0	3	6	
Durusdinium13298	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13299	8	0	5	1	22	3	0	5	0	0	1	31	5	2	0	7	0	2	9	
Durusdinium13307	17	10	4	6	13	3	4	4	0	7	0	23	10	0	3	10	0	3	5	
Durusdinium13308	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1331	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium13312	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13314	34	15	10	6	64	23	15	35	8	0	0	66	37	2	7	32	0	8	17	
Durusdinium13315	4	0	0	0	8	0	1	0	0	0	0	5	4	1	0	0	0	0	2	
Durusdinium13316	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13320	2	0	2	0	17	4	0	2	0	0	0	20	2	1	0	8	0	1	5	
Durusdinium1333	2	2	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	4	0	
Durusdinium13330	34	19	11	7	44	27	16	38	11	8	2	59	38	10	12	26	0	11	15	
Durusdinium13332	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13333	3	1	1	0	8	1	0	12	0	0	0	9	2	0	0	3	0	1	4	
Durusdinium13335	5	0	0	0	3	1	0	0	0	0	0	6	0	0	0	0	0	2	4	
Durusdinium13337	5	1	2	0	11	4	5	0	1	0	0	16	5	0	0	0	0	2	3	
Durusdinium13340	2	0	0	1	4	2	1	0	0	0	0	9	0	1	3	2	0	1	3	
Durusdinium13343	0	0	0	0	1	2	0	0	0	0	0	9	2	0	0	9	0	6	2	
Durusdinium13344	7	0	0	0	4	0	0	17	0	0	0	9	1	4	0	0	0	3	3	
Durusdinium13349	11	0	2	0	26	5	3	8	0	0	0	21	16	12	0	6	0	4	5	
Durusdinium13350	14	7	5	1	29	13	3	14	1	0	0	31	14	0	0	7	0	6	14	
Durusdinium13352	5	0	1	0	4	1	1	6	0	0	0	7	3	0	0	1	0	0	0	
Durusdinium13355	1	0	4	0	14	8	1	5	0	0	0	16	6	0	3	7	0	2	2	
Durusdinium13358	1	0	0	0	2	1	0	2	1	0	0	7	6	1	1	0	0	3	0	
Durusdinium13367	66	18	16	0	131	34	12	17	5	0	7	168	84	2	2	19	0	22	131	
Durusdinium13368	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium1337	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Durusdinium13374	57	18	9	0	99	49	35	27	3	0	23	137	99	9	4	60	0	33	49	
Durusdinium13389	4	0	0	0	0	0	1	0	0	0	0	3	6	0	0	0	0	0	0	
Durusdinium1339	13	3	0	0	26	11	4	10	3	2	0	25	17	5	3	10	0	9	9	
Durusdinium13394	10	13	2	0	17	4	3	12	0	0	0	34	13	16	1	7	0	5	8	
Durusdinium13397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13400	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13401	19	5	10	0	34	16	1	11	0	5	0	58	14	3	0	11	0	12	10	
Durusdinium13404	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1341	5	1	0	0	1	1	0	4	0	0	0	4	5	0	0	9	0	1	1	
Durusdinium13410	4	0	0	0	12	2	2	5	1	0	0	25	6	0	0	3	0	0	1	
Durusdinium13412	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13415	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	
Durusdinium13418	13	11	5	1	45	18	6	5	1	0	0	49	19	6	0	5	0	4	10	
Durusdinium13424	5	0	0	0	14	3	0	0	0	0	0	7	8	0	0	0	0	2	5	
Durusdinium13425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13430	4	3	0	0	13	6	3	5	0	0	0	19	5	0	0	0	0	3	7	
Durusdinium13434	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	
Durusdinium13438	23	14	23	10	46	25	15	22	7	0	2	69	38	8	11	22	0	9	18	
Durusdinium13439	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Durusdinium1344	3	12	0	0	0	0	0	1	0	0	0	1	3	0	0	5	0	1	0	
Durusdinium13440	30	9	8	0	36	11	13	5	6	0	0	39	18	3	0	11	0	5	13	
Durusdinium13441	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13442	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13445	44	12	1	0	85	19	8	18	0	0	6	97	43	5	2	10	0	15	34	
Durusdinium13446	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium13447	1	2	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium13452	15	2	5	0	26	10	4	3	1	0	2	37	16	0	0	13	0	2	16	
Durusdinium13458	4	3	0	2	8	0	10	5	0	0	0	5	8	10	0	1	0	1	1	
Durusdinium13460	76	40	13	15	129	42	21	68	11	4	18	142	70	39	0	67	0	19	69	
Durusdinium13461	0	7	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium13465	8	6	6	0	21	8	1	4	19	0	0	17	6	8	4	4	0	3	6	
Durusdinium13468	20	5	6	0	36	8	7	8	2	0	2	48	14	5	0	7	0	9	18	
Durusdinium13476	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium1348	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium13482	16	1	11	0	30	5	3	4	1	0	0	45	17	4	0	9	0	7	7	
Durusdinium1349	4	5	3	0	23	8	0	12	0	2	0	32	8	0	5	1	0	2	9	
Durusdinium13490	0	0	0	0	2	1	0	4	0	0	0	5	1	0	3	0	0	0	0	
Durusdinium13493	40	6	14	1	50	20	1	25	3	9	0	54	16	7	0	18	0	15	37	
Durusdinium13494	0	1	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0	1	
Durusdinium13506	12	0	2	0	21	3	1	0	0	0	3	22	8	0	0	0	0	4	7	
Durusdinium13514	52	12	12	0	88	16	2	31	0	0	1	76	33	39	1	39	6	10	22	
Durusdinium13515	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13518	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium1352	1	0	0	0	4	8	2	7	1	0	0	5	0	1	0	3	0	0	5	
Durusdinium13520	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium13521	1	2	2	0	7	2	2	4	7	2	0	17	7	2	1	3	0	1	9	
Durusdinium13523	2	0	1	0	3	0	4	3	0	0	0	6	1	1	0	1	0	0	1	
Durusdinium13527	0	0	0	1	0	1	0	2	0	0	0	6	2	0	0	0	0	1	1	
Durusdinium13539	2	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	1	
Durusdinium13545	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13547	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13548	0	0	0	0	1	0	0	2	0	0	0	9	4	0	0	2	0	0	1	
Durusdinium13555	4	0	7	0	5	3	0	2	7	0	7	11	9	0	0	2	0	3	3	
Durusdinium13557	16	0	0	0	34	5	5	9	0	0	0	43	14	12	0	8	0	8	10	
Durusdinium13559	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13569	0	1	0	0	0	0	0	1	0	0	0	2	5	0	0	0	0	0	1	
Durusdinium1357	3	0	3	0	5	0	0	6	0	0	0	11	3	0	0	6	0	0	0	
Durusdinium13570	4	5	1	0	4	3	0	0	0	0	0	7	0	0	0	0	0	0	2	
Durusdinium13571	1	0	3	0	2	4	0	2	0	0	0	8	4	0	0	0	0	0	3	
Durusdinium13577	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13578	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1359	2	0	3	0	5	2	0	5	0	0	0	6	1	0	0	0	0	1	3	
Durusdinium13596	3	0	3	0	3	0	0	1	0	0	0	3	0	0	0	11	0	0	0	
Durusdinium13601	6	0	0	0	7	2	1	0	0	0	0	8	8	8	0	0	0	0	3	
Durusdinium13605	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium13608	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Durusdinium13611	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium13613	0	0	0	0	3	0	5	4	0	0	0	6	0	0	0	1	0	3	1	
Durusdinium13618	14	22	13	15	20	8	8	3	10	10	5	26	12	21	8	2	0	7	5	
Durusdinium13619	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium13620	17	9	1	2	52	16	3	10	2	0	0	75	24	4	4	1	0	0	18	
Durusdinium13621	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
Durusdinium13624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13625	5	0	0	0	4	1	1	0	0	0	1	10	4	0	8	6	1	1	3	
Durusdinium13627	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1363	10	0	10	2	28	6	9	8	3	0	4	30	9	4	0	0	0	4	12	
Durusdinium13631	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium13632	2	0	0	0	3	0	3	0	0	0	0	0	1	0	0	2	0	0	0	
Durusdinium13634	3	0	0	0	13	2	1	1	0	0	0	12	2	0	0	1	0	1	5	
Durusdinium13635	1	6	0	0	2	0	3	1	0	0	0	5	2	0	0	0	0	0	1	
Durusdinium13636	1	0	2	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Durusdinium13651	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13655	1	0	0	0	2	2	0	0	0	0	0	2	0	6	0	0	0	0	0	
Durusdinium13659	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	
Durusdinium13663	2	0	0	0	5	1	0	0	0	0	0	3	1	0	0	0	0	0	1	
Durusdinium13666	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13670	8	0	1	0	18	5	0	2	0	0	0	29	8	2	0	1	0	0	4	
