	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Durusdinium10148	3	0	1	0	4	0	2	1	0	0	0	9	5	1	0	2	0	3	4	
Durusdinium10149	2	2	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	3	
Durusdinium10151	2	0	0	0	2	1	0	0	0	0	0	4	2	0	0	0	0	1	1	
Durusdinium10155	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10160	0	0	0	0	5	0	3	0	0	0	0	6	0	0	0	0	0	0	0	
Durusdinium10163	5	0	0	0	2	0	0	0	0	0	0	4	3	0	0	0	0	1	1	
Durusdinium10168	0	0	0	0	4	1	0	0	0	0	0	5	3	0	0	0	0	0	2	
Durusdinium10170	5	1	0	0	13	4	0	2	0	0	0	16	6	0	0	0	0	0	4	
Durusdinium10172	20	0	4	0	38	10	7	14	0	0	5	49	21	15	0	11	0	2	9	
Durusdinium10178	1	0	1	0	4	2	3	1	0	0	5	2	4	1	1	0	0	1	1	
Durusdinium10181	0	0	0	0	3	0	0	0	0	0	0	2	1	0	1	0	0	0	3	
Durusdinium10182	54	10	7	3	115	43	9	25	3	0	0	136	47	5	1	7	0	17	84	
Durusdinium10187	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10188	10	2	10	0	21	7	0	5	4	0	3	16	11	4	0	15	0	10	18	
Durusdinium10190	14	0	7	6	41	12	2	12	0	0	0	40	9	6	0	2	0	3	19	
Durusdinium10191	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	
Durusdinium10194	8	20	1	0	11	5	3	0	0	0	0	28	5	0	0	1	0	6	9	
Durusdinium10196	35	2	9	7	61	8	12	24	2	10	0	89	18	7	3	12	0	11	25	
Durusdinium10197	1	0	5	0	3	9	0	0	0	0	0	3	4	8	0	0	0	4	0	
Durusdinium10199	41	3	14	0	74	31	5	24	14	0	4	95	38	14	2	32	0	10	18	
Durusdinium10201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Durusdinium10203	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10204	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10207	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	2	0	0	1	
Durusdinium10209	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	
Durusdinium10212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10213	2	0	2	0	10	3	5	5	4	0	0	22	17	0	0	14	0	1	4	
Durusdinium10215	0	1	0	0	8	1	0	4	0	0	0	3	1	0	1	0	0	5	3	
Durusdinium10218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Durusdinium10219	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1022	12	2	4	7	30	13	3	10	0	2	0	39	21	1	0	5	1	2	12	
Durusdinium10220	9	1	0	2	9	4	1	1	0	0	0	24	6	0	0	7	0	1	4	
Durusdinium10225	12	6	0	0	39	12	2	1	0	0	0	43	14	2	0	3	0	5	16	
Durusdinium10226	3	0	5	0	3	1	0	2	0	0	3	15	7	0	6	0	0	1	1	
Durusdinium10227	3	1	0	0	4	2	3	2	0	0	0	9	1	0	0	1	0	0	2	
Durusdinium10233	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium10235	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	
Durusdinium10236	1	0	6	0	5	2	3	0	0	0	2	7	2	0	0	1	0	0	3	
Durusdinium10237	18	0	3	0	57	13	2	4	0	0	0	94	22	5	4	17	0	10	65	
Durusdinium10238	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10239	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1024	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10240	4	0	0	0	5	1	0	0	0	0	0	6	2	0	0	0	0	3	4	
Durusdinium10242	3	0	0	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium10246	2	3	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	
Durusdinium10249	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1025	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10250	1	0	0	0	4	0	4	4	0	0	0	9	3	0	0	0	0	0	2	
Durusdinium10251	1	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	
Durusdinium10252	1	9	0	0	2	2	0	3	0	0	0	11	1	1	0	0	0	1	1	
Durusdinium10258	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
Durusdinium10265	7	0	0	0	21	6	2	9	9	0	0	42	9	1	5	9	0	4	6	
Durusdinium10270	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	
Durusdinium10272	6	0	7	0	4	4	0	0	0	0	0	10	2	0	0	0	0	0	44	
Durusdinium10275	19	1	3	0	51	11	26	2	0	0	0	33	32	3	1	26	0	5	7	
Durusdinium10286	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10287	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1029	0	0	0	0	7	0	1	5	0	0	0	10	2	0	0	2	0	1	0	
Durusdinium10297	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10298	2	14	1	11	5	3	5	6	0	0	0	6	12	8	0	0	0	0	4	
Durusdinium10299	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium103	1	0	0	0	3	2	0	8	0	0	0	9	2	0	0	0	0	3	0	
Durusdinium10304	4	0	0	0	17	7	0	10	0	0	0	25	19	17	1	7	0	5	6	
Durusdinium10305	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10306	5	0	0	0	4	3	0	0	0	0	0	9	2	0	0	0	0	3	1	
Durusdinium10308	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10311	2	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	
Durusdinium10313	0	1	4	0	6	1	0	2	0	1	0	13	2	2	0	0	0	0	2	
Durusdinium10317	41	24	13	11	92	21	10	22	2	0	3	123	43	17	1	24	0	5	12	
Durusdinium10319	72	35	13	7	121	28	30	44	15	8	6	153	55	44	9	65	2	27	39	
Durusdinium10320	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	
Durusdinium10331	2	0	0	0	5	0	1	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10332	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10333	2	0	1	0	2	0	0	2	1	0	0	0	1	0	0	1	0	0	1	
Durusdinium10336	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Durusdinium1034	43	34	13	0	120	35	6	29	2	0	7	99	53	4	14	9	4	16	36	
Durusdinium10343	3	1	0	0	5	3	0	2	0	0	0	6	3	0	0	0	0	0	1	
Durusdinium10346	2	0	2	0	5	2	0	5	5	4	0	8	2	4	0	4	0	3	2	
Durusdinium10349	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10352	2	0	0	0	0	0	7	0	0	0	0	7	2	0	0	0	0	0	3	
Durusdinium10354	21	8	8	1	28	17	6	0	0	11	4	58	21	11	0	3	0	9	25	
Durusdinium10355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10356	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10357	0	0	0	0	15	2	2	0	0	0	0	11	1	1	0	2	0	4	1	
Durusdinium10361	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10363	2	3	9	0	10	7	5	2	0	0	0	12	4	0	0	1	0	4	8	
Durusdinium10365	6	0	3	0	7	3	1	3	1	8	0	6	4	0	2	2	0	5	2	
Durusdinium10370	20	12	7	7	36	26	1	11	4	3	4	39	31	8	6	19	0	2	6	
Durusdinium10377	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	
Durusdinium10379	0	0	0	0	1	1	6	0	0	0	0	4	0	0	0	0	0	2	0	
Durusdinium10381	7	0	5	0	28	5	0	9	9	0	0	46	9	6	0	24	0	6	9	
Durusdinium10383	5	0	1	0	3	6	0	1	0	0	1	20	5	7	0	0	0	0	4	
Durusdinium10389	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium1039	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10390	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10391	1	0	0	0	3	1	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium10398	9	1	6	1	13	4	6	4	3	0	1	21	8	1	0	3	0	2	7	
Durusdinium104	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10400	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10410	8	0	0	0	15	8	0	6	0	0	0	25	5	2	1	0	0	6	7	
Durusdinium10412	1	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	0	1	0	
Durusdinium10416	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10417	1	0	0	0	5	0	7	4	0	0	0	8	0	0	0	0	0	0	4	
Durusdinium10418	0	0	0	0	1	0	0	0	0	0	0	1	1	10	0	0	0	2	6	
Durusdinium10422	107	17	11	10	262	84	31	27	13	8	4	363	110	20	3	25	0	20	155	
Durusdinium10423	5	1	0	0	19	5	3	0	0	0	0	21	9	0	5	0	0	2	3	
Durusdinium10425	2	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium10426	1	0	1	0	5	0	0	3	0	0	0	7	0	0	0	0	0	1	2	
Durusdinium1043	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	7	0	0	3	
Durusdinium10430	0	0	0	0	5	1	0	0	0	0	0	1	4	0	0	0	0	0	1	
Durusdinium10431	1	3	3	7	7	0	0	0	0	0	0	10	5	0	0	0	0	8	4	
Durusdinium10434	7	7	4	2	10	0	5	2	0	1	0	19	3	0	0	7	0	3	1	
Durusdinium10436	2	0	3	0	18	7	4	1	0	0	0	26	8	1	4	0	0	0	9	
Durusdinium10440	0	0	0	0	3	6	2	0	0	0	0	11	1	1	0	0	0	0	1	
Durusdinium10441	1	0	1	0	17	3	0	4	0	4	0	14	8	0	0	1	0	1	4	
Durusdinium10445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10448	0	0	0	0	2	0	0	0	0	0	0	5	0	4	0	0	0	0	0	
Durusdinium10450	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10451	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10455	16	17	4	0	31	8	2	15	6	0	0	41	23	8	0	15	0	15	13	
Durusdinium10459	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10466	21	7	11	5	38	14	8	8	2	0	3	33	23	11	4	28	0	5	4	
Durusdinium10467	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10470	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
Durusdinium10472	5	1	4	0	8	2	3	2	1	0	0	20	2	0	2	7	0	4	3	
Durusdinium10476	4	0	0	0	2	4	0	0	0	0	0	16	2	3	0	0	0	1	6	
Durusdinium10479	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	
Durusdinium1048	8	0	0	0	11	2	0	0	0	0	0	14	6	8	0	0	0	0	1	
Durusdinium10482	2	0	0	0	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10484	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	
Durusdinium10485	0	0	0	0	6	2	0	0	0	0	0	5	0	0	0	0	0	1	4	
Durusdinium10487	0	0	0	0	1	0	2	0	0	0	0	0	2	0	1	1	0	0	0	
Durusdinium10491	57	38	16	9	53	43	1	46	43	9	21	87	65	32	35	88	0	13	24	
Durusdinium10492	6	1	3	0	6	2	2	10	0	0	0	17	12	0	0	0	0	4	4	
Durusdinium10502	26	28	12	2	37	19	12	27	0	1	9	39	28	14	0	27	0	5	16	
Durusdinium10504	4	0	0	0	6	0	1	3	0	0	0	6	3	0	0	0	0	1	2	
Durusdinium10507	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Durusdinium1051	13	0	12	0	29	4	13	0	0	0	2	21	24	0	0	0	0	3	7	
Durusdinium10511	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	
Durusdinium10514	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10516	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10517	0	0	4	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	
Durusdinium10518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10520	2	0	0	0	7	0	0	1	0	0	0	15	10	1	1	5	0	0	1	
Durusdinium10521	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10527	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10530	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10535	61	0	7	0	60	18	10	15	0	0	0	120	75	10	7	36	0	10	54	
Durusdinium10538	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10540	2	0	1	0	7	0	0	0	0	0	0	5	1	0	0	0	0	3	1	
Durusdinium10541	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10542	2	0	1	0	0	0	0	0	0	0	0	3	0	9	0	0	0	4	1	
Durusdinium10543	3	9	0	1	14	5	4	12	1	0	0	24	16	7	0	3	0	1	6	
Durusdinium10544	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10546	6	0	0	0	4	0	0	0	0	0	0	9	9	0	0	0	0	0	4	
Durusdinium10548	12	11	1	0	18	9	1	7	0	0	0	12	8	1	2	16	0	7	18	
Durusdinium10558	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	
Durusdinium10561	9	13	7	0	20	7	8	0	4	0	0	26	14	1	0	5	0	0	4	
Durusdinium10562	3	2	1	0	6	6	0	2	0	0	0	8	0	0	0	1	0	0	1	
Durusdinium10568	5	1	5	0	23	10	10	7	0	0	0	18	6	7	0	22	0	1	1	
Durusdinium1057	57	12	17	5	92	47	22	26	4	7	2	151	78	39	20	62	0	12	50	
Durusdinium10570	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10571	5	0	1	0	13	3	0	3	0	0	0	19	4	4	0	2	0	0	7	
Durusdinium10579	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10580	2	15	0	0	3	7	0	0	0	0	0	5	0	7	0	0	0	1	0	
Durusdinium10582	3	1	1	0	11	4	0	0	0	0	0	20	8	1	5	0	0	7	6	
Durusdinium10583	2	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	5	2	
Durusdinium10584	27	9	11	0	48	12	13	13	0	0	0	57	37	1	0	4	0	3	6	
Durusdinium10586	13	15	6	1	41	17	19	6	3	3	0	38	34	6	9	29	0	7	8	
Durusdinium10587	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium10590	11	3	5	0	13	6	6	4	0	0	1	15	10	3	0	21	0	6	2	
Durusdinium10593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10595	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10596	8	0	0	0	5	2	1	0	0	0	0	14	6	0	0	0	0	0	3	
Durusdinium10598	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10600	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
