"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000813",37,6,15,21,77,86,39,26,19,0,0,108,81,15,0,7,1,83,249
"Ofaveolata000814",18,0,0,0,15,3,0,6,0,0,0,17,15,3,0,0,0,4,21
"Ofaveolata000816",13,5,10,2,10,20,7,3,0,1,0,27,18,2,0,10,0,3,43
"Ofaveolata000819",31,4,4,0,31,22,7,11,10,0,0,53,29,10,20,4,0,22,83
"Ofaveolata000836",11,3,4,2,41,16,7,6,8,0,0,30,34,8,0,15,0,17,33
"Ofaveolata000837",17,7,2,3,36,15,2,5,0,0,2,12,7,0,2,5,0,1,12
"Ofaveolata000840",15,0,9,6,15,7,4,1,1,0,0,18,9,0,1,7,0,7,25
"Ofaveolata000841",45,27,5,0,20,37,9,1,0,0,4,31,23,0,10,10,2,18,32
"Ofaveolata000842",19,5,5,0,15,21,4,0,1,0,12,16,10,4,1,3,0,8,43
"Ofaveolata000845",3,1,8,0,25,15,9,7,0,0,3,40,21,7,0,5,0,13,60
"Ofaveolata000847",17,0,3,0,41,27,8,6,0,0,0,16,13,0,0,3,0,13,75
"Ofaveolata000850",373,68,145,20,877,263,172,89,46,6,29,768,454,126,13,100,3,318,909
"Ofaveolata000853",7,0,1,0,14,1,6,2,3,0,0,24,14,1,1,1,0,4,33
"Ofaveolata000856",3,8,1,0,41,19,9,7,0,0,1,26,11,0,0,0,0,13,20
"Ofaveolata000860",18,0,0,7,13,13,7,0,1,0,0,11,15,0,7,5,1,4,28
"Ofaveolata000863",12,7,4,0,1,13,0,1,1,0,0,3,2,0,0,0,0,3,28
"Ofaveolata000874",14,10,0,0,42,8,10,0,2,0,0,19,6,4,4,7,0,2,35
"Ofaveolata000879",14,1,8,0,6,8,3,0,1,4,0,20,17,0,1,11,0,9,34
"Ofaveolata000882",49,66,9,13,17,78,15,1,5,0,0,47,27,8,1,17,2,51,224
"Ofaveolata000888",10,13,3,1,12,12,13,5,2,0,0,35,16,3,0,3,0,2,25
"Ofaveolata000889",8,0,0,0,6,5,2,5,2,0,0,166,54,7,0,15,0,60,20
"Ofaveolata000893",9,0,0,0,10,9,3,0,1,0,0,21,8,0,0,6,0,2,13
"Ofaveolata000900",9,20,3,2,18,15,6,9,2,0,0,53,23,2,0,4,0,11,56
"Ofaveolata000902",8,11,0,2,0,1,0,1,0,0,0,3,2,1,0,1,0,0,22
"Ofaveolata000903",6,12,9,0,2,23,10,3,2,3,4,70,28,8,0,25,0,10,73
"Ofaveolata000913",35,2,21,10,75,12,5,13,0,0,12,64,35,0,0,7,1,13,105
