"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000196",184,18,40,9,273,134,43,19,15,0,0,142,68,12,38,33,0,41,243
"Ofaveolata000197",189,7,15,2,366,102,33,19,5,0,0,156,73,9,10,14,0,58,197
"Ofaveolata000198",4,0,1,1,10,2,1,0,2,0,1,5,1,3,0,1,0,4,20
"Ofaveolata000199",0,0,2,0,16,2,2,2,0,0,0,5,2,0,0,0,0,10,11
"Ofaveolata000201",17,3,12,2,36,3,19,8,9,0,0,41,22,0,0,27,0,5,52
"Ofaveolata000203",2,0,0,0,0,0,0,1,0,0,0,11,3,10,0,0,0,9,27
"Ofaveolata000205",8,8,0,1,0,22,3,0,1,0,0,0,5,0,0,0,0,0,58
"Ofaveolata000213",49,9,33,21,45,47,63,29,18,7,19,103,81,15,2,22,8,38,131
"Ofaveolata000214",252,54,140,38,381,208,235,129,36,14,3,567,405,98,19,149,0,329,465
"Ofaveolata000215",36,7,19,1,51,12,6,5,4,0,0,40,19,4,15,27,2,14,31
"Ofaveolata000216",200,101,92,41,156,298,105,55,65,27,18,309,257,46,9,108,6,134,429
"Ofaveolata000218",127,45,44,15,236,96,86,40,54,16,9,222,112,85,20,62,7,88,216
"Ofaveolata000220",142,39,53,4,110,125,67,49,31,0,0,218,89,18,3,39,3,98,264
"Ofaveolata000222",13,3,12,2,42,6,4,15,4,1,0,38,23,5,0,40,9,10,196
"Ofaveolata000223",8,3,2,0,13,5,0,0,0,0,0,18,7,3,0,0,0,4,19
"Ofaveolata000225",17,22,4,4,17,16,16,7,4,0,12,40,13,15,3,20,0,31,43
"Ofaveolata000226",70,28,4,4,18,4,4,17,0,0,0,14,16,3,0,1,6,11,57
"Ofaveolata000229",176,157,27,17,32,64,27,4,16,4,1,174,48,6,7,40,7,34,68
"Ofaveolata000230",64,34,9,6,25,32,40,1,6,0,0,5,2,4,0,0,0,6,30
"Ofaveolata000233",202,64,0,4,69,49,11,2,0,2,1,2,1,2,44,22,0,25,58
"Ofaveolata000234",3,4,38,1,32,7,12,7,8,0,8,43,14,6,0,8,0,13,4
